ts_code,trade_date,adj_factor
002076.SZ,20210322,5.764
002077.SZ,20210322,1.47
002078.SZ,20210322,8.516
002079.SZ,20210322,4.917
002080.SZ,20210322,4.833
002081.SZ,20210322,29.358
002082.SZ,20210322,2.879
002083.SZ,20210322,2.484
002084.SZ,20210322,2.757
002085.SZ,20210322,7.78
002086.SZ,20210322,4.127
002087.SZ,20210322,2.343
002088.SZ,20210322,3.901
002089.SZ,20210322,15.968
002090.SZ,20210322,5.719
002091.SZ,20210322,6.866
002092.SZ,20210322,3.383
002093.SZ,20210322,12.157
002094.SZ,20210322,5.304
002095.SZ,20210322,4.418
002096.SZ,20210322,4.944
002097.SZ,20210322,4.84
002098.SZ,20210322,2.329
002099.SZ,20210322,7.096
002100.SZ,20210322,11.504
002101.SZ,20210322,3.97
002102.SZ,20210322,9.212
002103.SZ,20210322,2.374
002104.SZ,20210322,6.535
002105.SZ,20210322,1.594
002106.SZ,20210322,3.55
002107.SZ,20210322,7.389
002108.SZ,20210322,16.729
002109.SZ,20210322,3.704
002110.SZ,20210322,2.048
002111.SZ,20210322,3.459
002112.SZ,20210322,2.578
002113.SZ,20210322,10.891
002114.SZ,20210322,1.82
002115.SZ,20210322,6.24
002116.SZ,20210322,4.418
002117.SZ,20210322,5.64
002118.SZ,20210322,12.43
002119.SZ,20210322,3.76
002120.SZ,20210322,6.297
002121.SZ,20210322,15.516
002122.SZ,20210322,8.472
002123.SZ,20210322,7.338
002124.SZ,20210322,11.188
002125.SZ,20210322,4.128
002126.SZ,20210322,5.523
002127.SZ,20210322,10.043
002128.SZ,20210322,2.823
002129.SZ,20210322,4.225
002130.SZ,20210322,20.49
002131.SZ,20210322,43.759
002132.SZ,20210322,5.846
002133.SZ,20210322,2.996
002134.SZ,20210322,1.251
002135.SZ,20210322,3.121
002136.SZ,20210322,2.071
002137.SZ,20210322,3.301
002138.SZ,20210322,6.621
002139.SZ,20210322,16.734
002140.SZ,20210322,8.624
002141.SZ,20210322,8.059
002142.SZ,20210322,2.089
002144.SZ,20210322,1.119
002145.SZ,20210322,3.041
002146.SZ,20210322,11.267
002147.SZ,20210322,3.44
002148.SZ,20210322,10.451
002149.SZ,20210322,3.164
002150.SZ,20210322,5.698
002151.SZ,20210322,5.814
002152.SZ,20210322,16.391
002153.SZ,20210322,17.346
002154.SZ,20210322,11.69
002155.SZ,20210322,2.69
002156.SZ,20210322,2.796
002157.SZ,20210322,15.398
002158.SZ,20210322,3.964
002159.SZ,20210322,1.522
002160.SZ,20210322,2.11
002161.SZ,20210322,10.704
002162.SZ,20210322,2.206
002163.SZ,20210322,4.664
002164.SZ,20210322,3.154
002165.SZ,20210322,7.545
002166.SZ,20210322,7.17
002167.SZ,20210322,7.859
002168.SZ,20210322,14.975
002169.SZ,20210322,7.613
002170.SZ,20210322,8.073
002171.SZ,20210322,5.067
002172.SZ,20210322,3.012
002173.SZ,20210322,3.043
002174.SZ,20210322,3.112
002175.SZ,20210322,6.466
002176.SZ,20210322,12.957
002177.SZ,20210322,8.827
002178.SZ,20210322,6.538
002179.SZ,20210322,7.784
002180.SZ,20210322,4.802
002181.SZ,20210322,2.197
002182.SZ,20210322,3.294
002183.SZ,20210322,14.921
002184.SZ,20210322,2.165
002185.SZ,20210322,10.395
002186.SZ,20210322,2.377
002187.SZ,20210322,2.371
002188.SZ,20210322,1.978
002189.SZ,20210322,1.029
002190.SZ,20210322,2.636
002191.SZ,20210322,6.272
002193.SZ,20210322,2.067
002194.SZ,20210322,3.644
002195.SZ,20210322,29.748
002196.SZ,20210322,2.797
002197.SZ,20210322,4.09
002198.SZ,20210322,5.082
002199.SZ,20210322,2.632
002200.SZ,20210322,1.815
002201.SZ,20210322,3.76
002202.SZ,20210322,7.803
002203.SZ,20210322,3.735
002204.SZ,20210322,4.791
002205.SZ,20210322,2.099
